Porject: Suzhou data: data7 Best,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
lstm,0.8418,0.43212,0.81938,0.3539,0.38315,0.22423,From epoch 14
mem,0.84909,0.46656,0.82099,0.35131,0.40777,0.22228,From epoch 13
g,0.83732,0.41163,0.8129,0.35806,0.37301,0.22182,From epoch 9
mem_g,0.84533,0.44834,0.82012,0.36006,0.39435,0.22595,From epoch 13
g_gcn,0.84426,0.44943,0.81559,0.34705,0.39891,0.22169,From epoch 14
mem_g_gcn,0.83498,0.40586,0.81995,0.33988,0.36508,0.22259,From epoch 9
lstm_t,0.84734,0.46271,0.81957,0.34808,0.40992,0.22428,From epoch 17
mem_t,0.84728,0.45987,0.81998,0.34207,0.41103,0.22479,From epoch 15
g_t,0.8409,0.42713,0.82539,0.33338,0.38774,0.22392,From epoch 11
mem_g_t,0.84734,0.45606,0.81805,0.34436,0.40647,0.22635,From epoch 13
g_gcn_t,0.82972,0.38295,0.82356,0.34443,0.35602,0.22272,From epoch 8
mem_g_gcn_t,0.83739,0.40733,0.82757,0.33053,0.3659,0.22115,From epoch 9
